 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"240820 Nísia Floresta";-;6;3;1;2;2;1;3;5;3;26
"240830 Nova Cruz";2;2;2;6;4;2;8;5;3;-;34
"240840 Olho-d'Água do Borges";-;4;-;1;-;1;3;-;-;-;9
"240850 Ouro Branco";-;-;1;1;1;-;-;-;-;-;3
"240860 Paraná";-;-;-;-;2;-;1;2;1;-;6
"240870 Paraú";1;-;3;2;3;4;1;1;3;-;18
"240880 Parazinho";-;1;2;2;3;1;-;-;-;1;10
"240890 Parelhas";1;2;2;7;4;7;2;1;2;1;29
"240325 Parnamirim";11;18;23;21;18;14;17;18;18;19;177
"240910 Passa e Fica";3;5;7;2;-;1;3;2;3;1;27
"240920 Passagem";-;-;1;-;-;-;1;-;-;4;6
"240930 Patu";1;4;5;6;1;4;1;5;-;3;30
"240940 Pau dos Ferros";16;18;12;13;6;6;13;11;8;13;116
"240950 Pedra Grande";1;-;-;2;-;-;1;-;1;1;6
"240960 Pedra Preta";-;-;1;-;-;-;-;-;-;-;1
"240970 Pedro Avelino";-;-;-;-;-;-;-;1;-;-;1
"240980 Pedro Velho";4;1;1;2;3;3;2;2;6;-;24
"240990 Pendências";2;-;6;4;1;1;2;1;1;2;20
"241000 Pilões";-;-;-;-;-;-;-;-;1;-;1
"241010 Poço Branco";3;2;1;1;2;2;2;-;2;1;16
"241020 Portalegre";-;-;-;-;-;1;1;1;1;-;4
"241025 Porto do Mangue";2;-;6;2;3;2;1;2;-;-;18
"241040 Pureza";-;2;1;-;-;2;3;-;1;3;12
"241050 Rafael Fernandes";2;2;1;1;2;1;2;2;-;2;15
"241060 Rafael Godeiro";1;1;-;-;-;-;1;-;-;-;3
"241070 Riacho da Cruz";2;-;-;1;1;-;-;-;-;-;4
"241080 Riacho de Santana";2;-;-;-;1;1;-;2;3;-;9
"241090 Riachuelo";4;-;-;3;6;1;3;3;1;1;22
"240895 Rio do Fogo";-;3;3;2;-;1;1;1;-;-;11
"241100 Rodolfo Fernandes";-;2;-;1;2;-;1;1;-;1;8
"241120 Santa Cruz";10;17;8;5;7;6;13;6;7;8;87
"240933 Santa Maria";7;1;1;-;1;2;1;-;-;-;13
"241140 Santana do Matos";2;3;3;2;2;3;7;-;3;1;26
"241142 Santana do Seridó";-;2;-;-;-;-;-;-;-;-;2
"241150 Santo Antônio";4;1;3;5;3;8;1;3;2;7;37
"241160 São Bento do Norte";1;-;-;-;-;1;-;-;-;-;2
"241170 São Bento do Trairí";-;-;2;-;-;-;-;-;-;-;2
"241180 São Fernando";1;1;-;-;-;-;-;1;1;1;5
"241190 São Francisco do Oeste";1;1;1;3;3;1;1;-;2;2;15
"241200 São Gonçalo do Amarante";10;15;4;7;8;5;8;7;12;10;86
"241210 São João do Sabugi";3;1;-;-;1;-;1;1;-;1;8
"241220 São José de Mipibu";10;6;11;15;4;9;12;6;3;6;82
"241230 São José do Campestre";2;1;5;1;2;-;1;3;1;1;17
"241240 São José do Seridó";1;3;3;-;-;1;-;1;-;-;9
"241250 São Miguel";4;1;2;3;2;3;6;4;6;5;36
"241255 São Miguel do Gostoso";-;-;-;-;-;1;1;-;-;-;2
"241260 São Paulo do Potengi";2;4;7;3;1;-;6;1;2;4;30
"241270 São Pedro";-;-;-;-;1;-;1;2;1;-;5
"241280 São Rafael";5;4;-;-;-;1;-;-;1;1;12
"241290 São Tomé";2;1;2;1;3;-;-;2;1;-;12
"241300 São Vicente";-;1;1;-;1;2;2;-;-;-;7
"241310 Senador Elói de Souza";-;5;-;2;2;1;4;4;-;-;18
"241320 Senador Georgino Avelino";-;-;-;-;1;1;1;-;-;-;3
"241030 Serra Caiada";-;4;-;2;2;3;-;-;1;1;13
"241330 Serra de São Bento";-;-;1;4;-;-;-;1;2;-;8
"241335 Serra do Mel";2;1;1;-;1;1;1;3;1;3;14
"241340 Serra Negra do Norte";2;1;2;5;-;2;-;-;-;-;12
"241350 Serrinha";1;2;-;-;1;1;2;1;1;-;9
"241355 Serrinha dos Pintos";2;-;1;-;1;1;-;1;1;1;8
"241360 Severiano Melo";2;-;1;4;1;-;1;-;1;-;10
"241370 Sítio Novo";1;-;-;2;-;1;2;-;-;-;6
"241380 Taboleiro Grande";-;-;1;2;1;2;1;-;-;1;8
"241390 Taipu";3;2;-;1;-;4;1;3;1;1;16
"241400 Tangará";2;7;1;4;1;11;1;5;4;2;38
"241410 Tenente Ananias";4;2;3;3;1;2;1;1;1;-;18
"241415 Tenente Laurentino Cruz";2;-;1;-;1;2;-;1;2;-;9
"241105 Tibau";1;-;3;2;4;1;1;-;-;1;13
"241420 Tibau do Sul";1;-;1;3;-;1;2;2;1;4;15
"241430 Timbaúba dos Batistas";-;-;-;1;2;-;2;-;-;-;5
"241440 Touros";6;2;-;-;3;7;5;2;3;2;30
"241445 Triunfo Potiguar";2;-;-;-;-;-;-;-;-;-;2
"241450 Umarizal";1;4;1;-;4;-;1;2;2;-;15
"241460 Upanema";-;-;2;3;-;3;3;-;7;6;24
"241470 Várzea";-;-;2;2;1;-;1;3;1;-;10
"241475 Venha-Ver";-;-;1;-;-;-;-;-;-;-;1
"241480 Vera Cruz";-;3;1;1;-;-;4;3;1;-;13
"241490 Viçosa";-;-;-;-;-;-;1;1;1;-;3
"241500 Vila Flor";-;-;1;-;-;-;1;-;-;-;2
"250010 Água Branca";2;-;1;1;2;1;3;2;1;1;14
"250020 Aguiar";-;-;-;3;-;-;-;-;-;1;4
"250030 Alagoa Grande";-;6;5;2;2;7;1;3;3;3;32
"250040 Alagoa Nova";1;3;2;-;7;5;3;2;1;6;30
"250050 Alagoinha";1;1;3;2;3;3;-;1;1;1;16
"250053 Alcantil";1;2;3;4;4;1;2;2;4;2;25
"250057 Algodão de Jandaíra";-;4;-;2;-;1;-;2;1;-;10
"250060 Alhandra";7;4;6;8;10;1;6;6;1;2;51
"250073 Amparo";1;-;1;-;-;-;1;-;1;-;4
"250077 Aparecida";1;1;1;1;-;1;4;2;-;2;13
"250080 Araçagi";4;3;1;1;2;1;-;-;2;3;17
"250090 Arara";1;1;3;2;-;4;1;1;4;1;18
"250100 Araruna";4;3;4;5;6;4;5;3;3;2;39
"250110 Areia";4;2;8;2;7;4;5;6;2;4;44
"250115 Areia de Baraúnas";-;-;-;1;1;1;1;-;-;-;4
"250120 Areial";3;1;2;-;1;-;3;1;1;1;13
"250130 Aroeiras";2;2;2;-;4;2;3;3;3;3;24
"250135 Assunção";-;2;-;-;2;1;1;2;-;-;8
"250140 Baía da Traição";-;1;-;2;-;1;1;1;1;-;7
"250150 Bananeiras";4;5;4;5;6;3;7;1;1;6;42
"250153 Baraúna";-;-;-;-;1;2;1;1;1;1;7
"250160 Barra de Santa Rosa";2;1;3;-;2;5;3;2;2;-;20
"250157 Barra de Santana";3;1;2;3;1;3;1;-;1;1;16
"250170 Barra de São Miguel";-;-;-;1;1;-;-;-;1;-;3
"250180 Bayeux";7;3;6;10;6;1;8;7;5;10;63
"250190 Belém";5;5;3;5;6;1;5;6;3;5;44
"250200 Belém do Brejo do Cruz";1;1;1;1;-;3;1;2;2;-;12
"250205 Bernardino Batista";-;-;1;-;1;2;-;-;-;1;5
"250210 Boa Ventura";-;1;1;-;-;-;-;-;1;1;4
"250215 Boa Vista";3;2;1;2;1;1;3;3;2;3;21
"250220 Bom Jesus";-;1;-;1;-;-;2;1;-;-;5
"250230 Bom Sucesso";1;1;-;-;1;1;-;2;1;-;7
"250240 Bonito de Santa Fé";1;1;-;-;-;1;1;-;2;2;8
"250250 Boqueirão";-;2;4;5;6;4;2;-;2;2;27
"250270 Borborema";-;2;-;1;1;-;2;-;1;1;8
"250280 Brejo do Cruz";2;1;10;5;5;3;6;2;6;1;41
"250290 Brejo dos Santos";1;-;1;-;2;-;-;-;-;-;4
"250300 Caaporã";6;8;4;8;5;10;5;4;2;3;55
"250310 Cabaceiras";-;-;1;1;-;-;2;1;2;-;7
"250320 Cabedelo";8;8;7;7;4;6;3;7;2;5;57
"250330 Cachoeira dos Índios";1;2;2;2;4;3;1;2;-;2;19
"250340 Cacimba de Areia";-;1;-;-;-;2;2;1;-;-;6
"250350 Cacimba de Dentro";2;9;2;4;4;2;4;2;2;2;33
"250355 Cacimbas";-;1;-;-;-;-;-;-;1;-;2
"250360 Caiçara";-;1;-;1;3;-;-;2;-;1;8
"250370 Cajazeiras";12;12;20;13;24;16;18;21;19;18;173
"250375 Cajazeirinhas";2;2;1;-;1;1;-;2;-;-;9
"250380 Caldas Brandão";-;-;1;4;1;5;2;2;1;1;17
"250390 Camalaú";1;-;3;3;-;3;-;2;1;1;14
"250400 Campina Grande";189;181;242;282;257;269;246;206;217;179;2268
"250403 Capim";2;-;3;1;-;5;-;1;-;2;14
"250407 Caraúbas";-;1;-;-;-;1;-;1;1;1;5
"250410 Carrapateira";-;-;-;-;-;-;1;-;-;-;1
"250415 Casserengue";1;-;-;1;1;1;2;2;1;-;9
"250420 Catingueira";2;4;1;2;1;-;-;-;9;2;21
"250430 Catolé do Rocha";4;7;4;2;9;11;5;6;6;5;59
"250435 Caturité";2;1;-;1;-;1;2;2;-;-;9
"250440 Conceição";2;4;5;1;3;5;4;3;8;1;36
"250450 Condado";-;2;1;1;4;-;1;1;1;1;12
"250460 Conde";7;6;10;9;-;10;1;9;4;5;61
"250470 Congo";-;-;2;2;6;2;3;2;1;4;22
"250480 Coremas";-;-;1;3;1;7;2;3;1;1;19
"250485 Coxixola";-;-;-;-;-;1;-;-;-;-;1
"250490 Cruz do Espírito Santo";8;4;8;2;2;4;3;3;1;3;38
"250500 Cubati";-;1;1;2;2;2;1;2;3;-;14
"250510 Cuité";5;4;5;5;2;12;7;2;4;5;51
"250523 Cuité de Mamanguape";1;-;-;-;1;-;-;-;-;-;2
"250520 Cuitegi";4;-;1;1;1;-;2;3;-;2;14
"250527 Curral de Cima";1;-;-;-;2;1;-;-;-;2;6
"250530 Curral Velho";-;-;-;-;1;-;-;-;-;2;3
"250535 Damião";1;-;6;1;1;1;5;2;2;2;21
"250540 Desterro";1;2;3;1;4;-;1;4;-;3;19
"250560 Diamante";1;-;2;-;2;1;1;-;1;1;9
"250570 Dona Inês";-;1;-;3;1;1;1;1;-;-;8
"250580 Duas Estradas";2;-;-;3;1;2;1;-;1;-;10
"250590 Emas";-;-;-;1;-;-;-;1;-;1;3
"250600 Esperança";5;2;4;2;3;6;5;5;3;1;36
"250610 Fagundes";-;1;1;1;2;2;-;3;-;-;10
"250620 Frei Martinho";-;-;1;2;-;-;-;-;1;-;4
"250625 Gado Bravo";2;-;-;1;-;2;-;-;-;2;7
"250630 Guarabira";9;4;5;7;7;8;18;9;17;7;91
"250640 Gurinhém";1;1;-;7;2;5;3;4;1;1;25
"250650 Gurjão";-;1;1;2;-;-;1;2;-;1;8
"250660 Ibiara";-;1;2;1;-;1;-;-;1;-;6
"250260 Igaracy";-;-;2;7;-;2;-;-;-;1;12
"250670 Imaculada";1;-;2;4;3;3;2;1;1;1;18
"250680 Ingá";2;5;3;5;6;3;2;4;5;6;41
"250690 Itabaiana";3;2;3;5;3;4;2;2;3;4;31
"250700 Itaporanga";1;7;5;7;7;3;6;5;-;4;45
"250710 Itapororoca";1;2;2;2;1;2;2;6;2;2;22
"250720 Itatuba";1;1;2;1;1;-;-;1;-;-;7
"250730 Jacaraú";4;-;3;6;2;2;4;3;5;2;31
"250740 Jericó";1;-;-;1;-;2;2;2;-;2;10
"250750 João Pessoa";226;193;213;202;198;191;221;191;172;185;1992
"251365 Joca Claudino";-;-;-;-;2;-;-;1;-;-;3
"250760 Juarez Távora";1;-;3;1;-;1;-;3;1;1;11
"250770 Juazeirinho";3;-;5;5;3;4;9;7;6;4;46
"250780 Junco do Seridó";1;3;3;2;2;-;4;-;4;3;22
"250790 Juripiranga";-;1;1;1;2;2;1;1;1;1;11
"250800 Juru";1;-;6;4;6;1;3;2;1;1;25
"250810 Lagoa";-;-;-;-;1;1;-;-;1;1;4
"250820 Lagoa de Dentro";1;-;1;-;-;-;3;3;-;1;9
"250830 Lagoa Seca";3;5;6;8;2;4;-;5;5;3;41
"250840 Lastro";-;-;-;1;-;-;-;-;1;-;2
"250850 Livramento";-;-;-;-;2;2;-;2;1;-;7
"250855 Logradouro";-;-;-;2;2;1;-;1;2;-;8
"250860 Lucena";3;1;4;4;-;3;5;2;2;-;24
"250870 Mãe d'Água";-;-;2;-;1;1;-;1;1;-;6
"250880 Malta";3;-;1;4;1;2;5;-;5;3;24
"250890 Mamanguape";10;10;11;10;9;9;20;15;11;8;113
"250900 Manaíra";-;-;-;-;-;1;-;2;-;2;5
"250905 Marcação";2;2;1;5;-;3;3;1;-;-;17
"250910 Mari";1;1;3;5;2;2;3;4;2;2;25
"250915 Marizópolis";-;-;1;2;1;1;-;-;4;2;11
"250920 Massaranduba";1;2;6;4;2;2;3;3;2;1;26
"250930 Mataraca";1;-;-;-;1;5;-;2;4;1;14
"250933 Matinhas";-;-;2;1;5;-;-;1;2;3;14
"250939 Maturéia";1;1;7;4;2;2;1;1;2;-;21
"250940 Mogeiro";-;5;1;2;1;3;2;4;-;-;18
"250950 Montadas";2;-;2;1;1;-;1;2;1;1;11
"250960 Monte Horebe";-;3;-;3;3;-;4;1;-;1;15
"250970 Monteiro";4;7;8;8;9;14;6;6;6;8;76
"250980 Mulungu";1;1;3;1;4;1;2;-;3;3;19
"250990 Natuba";-;-;3;2;-;1;2;-;-;-;8
"251000 Nazarezinho";-;2;1;-;3;1;-;-;1;-;8
"251010 Nova Floresta";1;2;1;4;2;2;4;4;1;5;26
"251020 Nova Olinda";2;-;-;-;2;-;2;1;-;1;8
"251030 Nova Palmeira";1;1;-;2;3;1;-;-;1;-;9
"251040 Olho d'Água";-;3;1;-;1;1;-;-;2;2;10
"251050 Olivedos";-;-;-;-;1;2;2;1;-;3;9
"251060 Ouro Velho";-;-;2;1;-;1;1;2;-;-;7
"251065 Parari";-;-;-;-;-;-;-;-;-;1;1
"251070 Passagem";1;-;1;-;1;1;1;-;-;-;5
"251080 Patos";31;20;27;27;25;33;27;31;34;18;273
"251090 Paulista";1;4;4;4;3;1;6;5;2;1;31
"251100 Pedra Branca";-;-;1;-;1;-;1;-;-;-;3
"251110 Pedra Lavrada";-;1;1;2;2;1;2;1;1;1;12
"251120 Pedras de Fogo";5;2;5;2;3;11;5;3;4;3;43
"251272 Pedro Régis";-;-;4;1;-;1;2;-;1;2;11
"251130 Piancó";7;5;3;3;2;3;7;4;1;1;36
"251140 Picuí";4;6;8;9;4;3;4;4;2;6;50
"251150 Pilar";2;2;-;1;3;1;4;1;2;1;17
"251160 Pilões";-;3;1;3;-;-;-;1;3;2;13
"251170 Pilõezinhos";-;-;-;-;-;1;1;-;-;-;2
"251180 Pirpirituba";2;2;-;1;1;2;2;4;1;1;16
"251190 Pitimbu";2;4;4;2;1;4;2;2;6;1;28
"251200 Pocinhos";2;6;4;2;7;8;4;5;3;1;42
"251203 Poço Dantas";-;-;1;-;-;-;-;-;1;-;2
"251207 Poço de José de Moura";-;1;-;-;-;-;-;3;2;-;6
"251210 Pombal";4;6;5;3;9;5;10;10;7;7;66
"251220 Prata";-;1;1;-;-;-;-;-;1;1;4
"251230 Princesa Isabel";9;7;6;1;4;1;2;4;8;1;43
"251240 Puxinanã";2;1;3;5;1;3;2;2;-;1;20
"251250 Queimadas";5;8;11;7;12;12;10;4;6;4;79
"251260 Quixabá";-;-;-;-;2;1;1;2;3;-;9
"251270 Remígio";5;5;2;4;-;1;1;7;1;1;27
"251274 Riachão";2;-;1;-;-;-;1;-;-;-;4
"251275 Riachão do Bacamarte";3;-;1;3;3;-;7;2;1;-;20
"251276 Riachão do Poço";-;1;1;1;1;-;2;1;1;2;10
"251278 Riacho de Santo Antônio";1;1;1;1;-;-;-;1;1;1;7
"251280 Riacho dos Cavalos";-;-;-;-;-;1;-;2;-;-;3
"251290 Rio Tinto";4;2;2;-;4;3;5;1;2;5;28
"251300 Salgadinho";-;-;1;-;-;-;-;2;1;1;5
"251310 Salgado de São Félix";-;-;-;-;2;2;2;1;-;-;7
"251315 Santa Cecília";-;-;1;-;-;-;1;-;-;-;2
"251320 Santa Cruz";-;1;-;4;-;-;2;-;-;1;8
"251330 Santa Helena";-;-;1;-;-;2;1;-;3;2;9
"251335 Santa Inês";-;-;-;-;-;1;1;-;-;-;2
"251340 Santa Luzia";9;11;4;2;4;-;10;1;1;4;46
"251370 Santa Rita";22;18;16;25;17;23;14;13;13;21;182
"251380 Santa Teresinha";-;3;4;1;1;4;3;1;2;1;20
"251350 Santana de Mangueira";1;-;2;-;2;3;1;1;1;-;11
"251360 Santana dos Garrotes";-;-;-;-;-;-;1;-;1;-;2
"251385 Santo André";-;-;-;-;-;-;-;-;-;2;2
"251392 São Bentinho";-;1;2;3;-;2;1;2;1;1;13
"251390 São Bento";3;3;2;8;4;8;1;4;6;2;41
"251396 São Domingos";1;-;2;1;1;3;-;2;-;-;10
"251394 São Domingos do Cariri";-;-;-;-;-;-;1;-;1;-;2
"251398 São Francisco";-;-;3;1;1;-;-;-;3;3;11
"251400 São João do Cariri";-;1;4;1;-;1;2;2;3;2;16
"250070 São João do Rio do Peixe";-;-;1;4;8;9;2;4;3;3;34
"251410 São João do Tigre";-;-;-;-;-;1;2;-;2;-;5
"251420 São José da Lagoa Tapada";-;-;1;6;1;1;2;-;5;-;16
"251430 São José de Caiana";-;-;-;-;-;4;2;-;-;-;6
"251440 São José de Espinharas";-;-;-;-;-;1;1;2;-;-;4
"251450 São José de Piranhas";4;9;6;6;4;6;5;2;5;1;48
"251455 São José de Princesa";1;-;-;-;-;-;-;-;-;-;1
"251460 São José do Bonfim";5;4;4;-;5;4;1;3;4;-;30
"251470 São José do Sabugi";2;-;-;-;-;-;-;-;-;1;3
"251480 São José dos Cordeiros";-;2;1;1;-;1;2;-;-;-;7
"251445 São José dos Ramos";1;-;-;1;-;1;-;-;-;1;4
"251490 São Mamede";1;5;4;2;2;1;1;1;-;1;18
"251500 São Miguel de Taipu";-;-;4;-;-;-;1;1;-;1;7
"251510 São Sebastião de Lagoa de Roça";1;4;1;2;-;2;-;2;1;2;15
"251520 São Sebastião do Umbuzeiro";-;-;-;2;-;-;-;1;-;1;4
"251540 São Vicente do Seridó";4;2;5;2;-;3;4;-;1;2;23
"251530 Sapé";4;10;8;12;7;4;13;12;10;5;85
"251550 Serra Branca";3;4;-;2;5;5;1;4;2;4;30
"251560 Serra da Raiz";-;-;-;-;-;-;-;-;1;-;1
"251570 Serra Grande";-;-;-;-;1;-;-;1;-;-;2
"251580 Serra Redonda";-;-;-;3;1;-;-;2;-;1;7
"251590 Serraria";1;1;-;1;-;-;-;-;-;1;4
"251593 Sertãozinho";-;-;1;-;-;1;2;1;2;1;8
"251597 Sobrado";3;3;3;5;5;1;3;3;8;3;37
"251600 Solânea";6;3;5;4;8;5;5;5;3;3;47
"251610 Soledade";3;6;9;7;8;6;4;4;3;4;54
"251615 Sossêgo";1;-;-;1;1;1;1;-;2;2;9
"251620 Sousa";26;20;24;17;19;33;20;14;15;17;205
"251630 Sumé";1;3;2;3;3;2;5;10;5;5;39
"251640 Tacima";1;1;3;-;3;1;2;1;1;1;14
"251650 Taperoá";3;2;3;2;3;4;3;2;2;-;24
"251660 Tavares";-;1;4;-;1;6;3;7;3;-;25
"251670 Teixeira";1;3;3;4;4;3;2;6;6;3;35
"251675 Tenório";-;-;1;-;-;-;-;1;-;2;4
"251680 Triunfo";1;1;-;1;-;2;5;-;1;1;12
"251690 Uiraúna";6;4;2;3;5;6;2;1;2;1;32
"251700 Umbuzeiro";2;1;1;1;7;-;1;1;-;2;16
"251710 Várzea";1;1;-;-;1;-;-;-;2;-;5
"251720 Vieirópolis";-;-;-;1;-;-;3;-;-;1;5
"250550 Vista Serrana";-;-;-;-;-;-;1;-;-;1;2
"251740 Zabelê";1;-;-;2;-;-;3;1;-;-;7
"250000 Município ignorado - PB";-;-;11;11;5;-;-;-;-;-;27
"260005 Abreu e Lima";3;6;10;6;2;-;7;11;4;2;51
"260010 Afogados da Ingazeira";5;10;13;20;10;8;16;4;5;6;97
"260020 Afrânio";3;1;3;3;5;4;6;3;4;5;37
"260030 Agrestina";9;8;6;6;12;10;7;8;5;7;78
"260040 Água Preta";7;4;5;6;3;5;3;2;-;3;38
"260050 Águas Belas";7;11;9;10;7;7;6;11;8;4;80
"260060 Alagoinha";2;2;-;1;1;1;3;-;2;3;15
"260070 Aliança";5;9;18;7;6;6;11;6;7;7;82
"260080 Altinho";2;2;6;5;2;2;6;1;1;2;29
"260090 Amaraji";4;2;-;12;6;5;3;6;3;-;41
"260100 Angelim";2;-;5;4;-;1;2;2;4;-;20
"260105 Araçoiaba";1;-;1;4;1;2;2;2;2;-;15
"260110 Araripina";29;28;34;30;29;44;27;14;23;12;270
"260120 Arcoverde";25;22;31;12;14;13;12;20;18;19;186
"260130 Barra de Guabiraba";-;-;-;1;-;3;1;-;-;3;8
"260140 Barreiros";3;1;1;4;3;3;3;5;-;1;24
"260150 Belém de Maria";1;-;-;4;-;1;5;1;-;-;12
"260160 Belém do São Francisco";5;4;3;7;8;2;3;9;5;1;47
"260170 Belo Jardim";16;15;18;16;14;15;10;12;9;9;134
"260180 Betânia";3;-;-;2;1;1;1;6;3;4;21
"260190 Bezerros";10;23;13;15;12;14;11;9;12;7;126
"260200 Bodocó";9;8;10;4;6;3;2;5;6;6;59
"260210 Bom Conselho";3;2;3;8;5;4;9;4;3;1;42
"260220 Bom Jardim";8;7;7;5;5;8;2;8;6;6;62
"260230 Bonito";-;-;-;2;-;1;3;6;2;8;22
"260240 Brejão";5;3;5;9;6;6;3;9;4;4;54
"260250 Brejinho";3;1;1;1;1;-;-;-;-;1;8
"260260 Brejo da Madre de Deus";10;9;5;10;9;6;5;7;3;5;69
"260270 Buenos Aires";-;-;1;1;-;1;2;-;1;1;7
"260280 Buíque";3;5;7;4;2;1;7;8;6;4;47
"260290 Cabo de Santo Agostinho";41;41;41;32;27;42;34;35;35;26;354
"260300 Cabrobó";9;3;10;7;9;10;8;2;2;4;64
"260310 Cachoeirinha";11;3;12;5;8;2;6;5;2;6;60
"260320 Caetés";4;7;10;11;2;7;6;6;14;8;75
"260330 Calçado";1;1;2;-;1;4;4;-;1;2;16
"260340 Calumbi";1;-;1;1;2;1;-;1;-;1;8
"260345 Camaragibe";8;9;7;2;5;6;6;6;7;2;58
"260350 Camocim de São Félix";1;3;1;7;2;3;6;1;1;-;25
"260360 Camutanga";1;-;2;1;2;1;1;2;-;-;10
"260370 Canhotinho";3;-;5;4;6;7;11;2;2;2;42
"260380 Capoeiras";4;6;3;4;11;3;4;3;2;3;43
"260390 Carnaíba";3;1;2;4;1;1;5;2;3;2;24
"260392 Carnaubeira da Penha";1;3;1;1;2;2;1;1;1;1;14
"260400 Carpina";4;12;5;8;6;6;4;4;6;5;60
"260410 Caruaru";140;124;133;92;67;96;77;77;69;58;933
"260415 Casinhas";6;2;2;2;5;3;3;1;2;-;26
"260420 Catende";5;9;1;7;4;1;4;6;2;6;45
"260430 Cedro";1;3;1;-;2;1;-;1;1;2;12
"260440 Chã de Alegria";1;3;-;1;3;1;2;-;-;1;12
"260450 Chã Grande";1;1;3;3;2;2;1;4;3;1;21
"260460 Condado";2;5;1;1;5;4;4;5;4;3;34
"260470 Correntes";5;2;5;2;2;1;1;1;2;2;23
"260480 Cortês";1;1;3;1;1;2;1;-;3;-;13
"260490 Cumaru";5;-;-;-;4;8;4;-;3;3;27
"260500 Cupira";8;5;6;-;2;10;8;6;5;-;50
"260510 Custódia";15;11;1;13;7;9;14;8;2;5;85
"260515 Dormentes";-;-;2;-;5;5;7;3;6;3;31
"260520 Escada";9;10;11;13;15;14;12;3;9;11;107
"260530 Exu";9;4;15;10;7;8;10;12;8;7;90
"260540 Feira Nova";4;5;2;2;5;3;2;-;2;3;28
"260545 Fernando de Noronha";-;1;-;-;-;-;-;-;-;-;1
"260550 Ferreiros";4;3;4;1;1;1;3;2;2;1;22
"260560 Flores";3;1;7;6;10;6;13;7;6;6;65
"260570 Floresta";4;4;8;5;8;10;7;4;8;4;62
"260580 Frei Miguelinho";-;-;-;6;5;2;4;3;1;2;23
"260590 Gameleira";4;5;1;5;3;3;1;-;2;1;25
"260600 Garanhuns";42;46;63;35;38;39;34;36;18;22;373
"260610 Glória do Goitá";1;2;6;6;1;7;1;5;4;6;39
"260620 Goiana";21;19;24;18;16;19;20;15;14;9;175
"260630 Granito";-;2;1;1;2;3;2;1;3;3;18
"260640 Gravatá";14;15;14;17;16;11;14;9;11;7;128
"260650 Iati";1;6;4;1;3;4;2;5;9;6;41
"260660 Ibimirim";5;5;1;11;3;6;12;4;3;2;52
"260670 Ibirajuba";1;3;2;-;2;-;-;-;-;1;9
"260680 Igarassu";23;22;13;5;22;21;23;20;7;14;170
"260690 Iguaracy";5;1;3;-;1;3;1;2;-;4;20
"260760 Ilha de Itamaracá";-;1;2;4;1;4;3;3;-;1;19
"260700 Inajá";2;2;2;1;2;6;4;3;2;4;28
"260710 Ingazeira";-;-;-;-;-;-;1;-;1;-;2
"260720 Ipojuca";22;28;15;18;29;19;21;7;10;12;181
"260730 Ipubi";5;9;8;5;6;5;10;8;8;7;71
"260740 Itacuruba";1;2;2;1;1;-;2;-;-;2;11
"260750 Itaíba";4;5;8;7;7;8;6;2;4;7;58
"260765 Itambé";6;7;4;6;5;5;6;5;5;4;53
"260770 Itapetim";1;1;3;1;2;1;-;2;2;4;17
"260775 Itapissuma";1;2;1;4;5;5;5;2;5;1;31
"260780 Itaquitinga";2;1;-;-;1;-;1;1;1;3;10
"260790 Jaboatão dos Guararapes";48;44;42;48;41;34;40;27;31;22;377
"260795 Jaqueira";1;3;2;2;1;2;1;1;1;-;14
"260800 Jataúba";5;4;5;9;5;6;5;5;6;10;60
"260805 Jatobá";3;-;2;1;4;2;7;2;-;2;23
"260810 João Alfredo";-;1;2;-;4;1;1;1;2;2;14
"260820 Joaquim Nabuco";3;1;2;1;1;1;1;1;1;1;13
"260825 Jucati";4;2;3;6;3;6;4;3;5;3;39
"260830 Jupi";7;5;5;8;8;8;3;3;1;1;49
"260840 Jurema";1;1;3;3;8;1;2;3;-;2;24
"260850 Lagoa de Itaenga";2;2;5;5;4;4;1;2;2;3;30
"260845 Lagoa do Carro";3;3;3;-;4;3;3;2;1;3;25
"260860 Lagoa do Ouro";-;2;-;-;-;1;3;2;1;2;11
"260870 Lagoa dos Gatos";-;1;-;1;-;-;1;2;1;-;6
"260875 Lagoa Grande";3;7;8;10;11;9;10;7;4;10;79
"260880 Lajedo";5;1;12;16;14;19;12;16;6;9;110
"260890 Limoeiro";15;10;22;9;7;5;5;8;5;7;93
"260900 Macaparana";2;-;5;4;2;4;1;4;3;2;27
"260910 Machados";1;1;1;1;1;-;3;3;1;1;13
"260915 Manari";6;5;2;1;3;3;3;2;2;3;30
"260920 Maraial";3;1;2;-;-;-;1;-;-;-;7
"260930 Mirandiba";4;6;1;1;2;5;3;3;3;1;29
"261430 Moreilândia";-;-;1;2;3;-;1;-;-;-;7
"260940 Moreno";6;7;3;3;4;5;5;9;7;10;59
"260950 Nazaré da Mata";6;3;7;9;11;10;4;8;9;5;72
"260960 Olinda";16;22;19;17;20;32;25;26;19;21;217
"260970 Orobó";1;5;-;1;1;2;-;2;1;3;16
"260980 Orocó";6;4;3;6;4;2;2;3;-;5;35
"260990 Ouricuri";34;41;40;41;47;36;41;32;46;34;392
"261000 Palmares";3;18;18;13;17;14;16;18;14;13;144
